,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
161704,Europe,Slovakia,Cereal,Online,H,6/6/2017,317757499,6/11/2017,360,205.7,117.11,74052.0,42159.6,31892.4
161724,Europe,Slovakia,Personal Care,Online,H,2/3/2010,164781463,3/17/2010,1351,81.73,56.67,110417.23,76561.17,33856.06
161954,Europe,Slovakia,Beverages,Online,H,7/3/2014,700683391,7/4/2014,6641,47.45,31.79,315115.45,211117.39,103998.06
162274,Europe,Slovakia,Personal Care,Offline,L,9/24/2012,235879313,10/5/2012,785,81.73,56.67,64158.05,44485.95,19672.1
162323,Europe,Slovakia,Cereal,Online,M,11/27/2015,540901410,1/13/2016,3602,205.7,117.11,740931.4,421830.22,319101.18
162479,Europe,Slovakia,Meat,Online,L,2/14/2015,431654393,3/15/2015,4982,421.89,364.69,2101855.98,1816885.58,284970.4
162510,Europe,Slovakia,Office Supplies,Online,H,9/30/2011,430823123,10/5/2011,8991,651.21,524.96,5855029.11,4719915.36,1135113.75
162750,Europe,Slovakia,Cosmetics,Online,L,8/8/2013,745794284,9/17/2013,5957,437.2,263.33,2604400.4,1568656.81,1035743.59
162994,Europe,Slovakia,Baby Food,Offline,C,7/4/2016,921515452,7/12/2016,5755,255.28,159.42,1469136.4,917462.1,551674.3
163067,Europe,Slovakia,Clothes,Offline,L,12/9/2015,251621091,1/19/2016,9127,109.28,35.84,997398.56,327111.68,670286.88
163086,Europe,Slovakia,Meat,Offline,M,2/18/2014,845035159,3/15/2014,3537,421.89,364.69,1492224.93,1289908.53,202316.4
163370,Europe,Slovakia,Clothes,Online,H,3/18/2017,371591365,3/18/2017,997,109.28,35.84,108952.16,35732.48,73219.68
163641,Europe,Slovakia,Cereal,Online,C,6/4/2012,570608270,7/17/2012,4522,205.7,117.11,930175.4,529571.42,400603.98
163707,Europe,Slovakia,Cosmetics,Online,C,5/15/2016,603458249,7/2/2016,5561,437.2,263.33,2431269.2,1464378.13,966891.07
163992,Europe,Slovakia,Vegetables,Online,M,10/25/2010,503089988,11/30/2010,4362,154.06,90.93,672009.72,396636.66,275373.06
164417,Europe,Slovakia,Household,Online,M,6/10/2011,940301644,7/9/2011,5007,668.27,502.54,3346027.89,2516217.78,829810.11
164591,Europe,Slovakia,Snacks,Online,M,7/25/2015,414982640,8/2/2015,1440,152.58,97.44,219715.2,140313.6,79401.6
164628,Europe,Slovakia,Cosmetics,Offline,C,5/11/2017,805322158,6/27/2017,1577,437.2,263.33,689464.4,415271.41,274192.99
164657,Europe,Slovakia,Cosmetics,Offline,L,11/5/2012,740453469,11/16/2012,5491,437.2,263.33,2400665.2,1445945.03,954720.17
164884,Europe,Slovakia,Meat,Online,C,7/20/2011,738635146,8/3/2011,7409,421.89,364.69,3125783.01,2701988.21,423794.8
164901,Europe,Slovakia,Personal Care,Offline,L,12/3/2012,518634355,1/3/2013,4286,81.73,56.67,350294.78,242887.62,107407.16
165156,Europe,Slovakia,Baby Food,Offline,M,7/7/2016,465631759,7/17/2016,9640,255.28,159.42,2460899.2,1536808.8,924090.4
165249,Europe,Slovakia,Cereal,Online,L,12/29/2014,601400887,1/28/2015,6742,205.7,117.11,1386829.4,789555.62,597273.78
165251,Europe,Slovakia,Personal Care,Offline,L,6/22/2010,136103284,6/26/2010,4841,81.73,56.67,395654.93,274339.47,121315.46
165438,Europe,Slovakia,Personal Care,Offline,C,11/1/2015,456908786,11/4/2015,8318,81.73,56.67,679830.14,471381.06,208449.08
166071,Europe,Slovakia,Office Supplies,Offline,C,4/27/2011,566789662,5/7/2011,4511,651.21,524.96,2937608.31,2368094.56,569513.75
166269,Europe,Slovakia,Meat,Offline,M,5/19/2014,192488038,5/22/2014,343,421.89,364.69,144708.27,125088.67,19619.6
166272,Europe,Slovakia,Cosmetics,Offline,H,7/31/2010,196561133,8/2/2010,5662,437.2,263.33,2475426.4,1490974.46,984451.94
166537,Europe,Slovakia,Office Supplies,Offline,C,7/24/2010,624146020,8/29/2010,7532,651.21,524.96,4904913.72,3953998.72,950915.0
166674,Europe,Slovakia,Clothes,Online,H,10/29/2016,793456065,11/30/2016,137,109.28,35.84,14971.36,4910.08,10061.28
167392,Europe,Slovakia,Cosmetics,Offline,L,12/6/2012,919063270,12/28/2012,100,437.2,263.33,43720.0,26333.0,17387.0
167609,Europe,Slovakia,Office Supplies,Offline,L,7/18/2011,603951776,8/21/2011,1606,651.21,524.96,1045843.26,843085.76,202757.5
167660,Europe,Slovakia,Office Supplies,Offline,H,9/27/2013,207538878,10/8/2013,4221,651.21,524.96,2748757.41,2215856.16,532901.25
168013,Europe,Slovakia,Household,Online,M,12/6/2011,622582185,12/11/2011,4758,668.27,502.54,3179628.66,2391085.32,788543.34
168108,Europe,Slovakia,Snacks,Online,H,1/17/2014,182242858,1/18/2014,8566,152.58,97.44,1307000.28,834671.04,472329.24
168376,Europe,Slovakia,Beverages,Online,L,5/30/2011,923770225,6/9/2011,2993,47.45,31.79,142017.85,95147.47,46870.38
168433,Europe,Slovakia,Meat,Online,H,1/8/2014,518831765,1/23/2014,2704,421.89,364.69,1140790.56,986121.76,154668.8
168582,Europe,Slovakia,Fruits,Online,L,6/9/2015,981536853,6/11/2015,7422,9.33,6.92,69247.26,51360.24,17887.02
168754,Europe,Slovakia,Beverages,Online,L,11/12/2010,289417064,11/16/2010,3795,47.45,31.79,180072.75,120643.05,59429.7
168804,Europe,Slovakia,Personal Care,Offline,M,5/28/2017,963779342,7/8/2017,2579,81.73,56.67,210781.67,146151.93,64629.74
169019,Europe,Slovakia,Household,Offline,L,1/7/2011,683081662,2/15/2011,7898,668.27,502.54,5277996.46,3969060.92,1308935.54
169249,Europe,Slovakia,Cereal,Online,H,3/21/2017,946769845,4/23/2017,9091,205.7,117.11,1870018.7,1064647.01,805371.69
169386,Europe,Slovakia,Cereal,Online,L,7/21/2010,664212214,9/8/2010,4009,205.7,117.11,824651.3,469493.99,355157.31
169918,Europe,Slovakia,Household,Online,H,7/2/2014,875432956,8/14/2014,8921,668.27,502.54,5961636.67,4483159.34,1478477.33
170179,Europe,Slovakia,Baby Food,Offline,C,6/3/2016,742905652,7/22/2016,1146,255.28,159.42,292550.88,182695.32,109855.56
170283,Europe,Slovakia,Fruits,Offline,C,10/28/2014,528936612,11/11/2014,2953,9.33,6.92,27551.49,20434.76,7116.73
170292,Europe,Slovakia,Personal Care,Online,M,6/11/2012,602528274,6/17/2012,361,81.73,56.67,29504.53,20457.87,9046.66
170396,Europe,Slovakia,Cosmetics,Offline,M,5/29/2014,581149566,7/15/2014,3926,437.2,263.33,1716447.2,1033833.58,682613.62
170461,Europe,Slovakia,Personal Care,Offline,H,12/15/2010,274267518,1/13/2011,708,81.73,56.67,57864.84,40122.36,17742.48
170484,Europe,Slovakia,Personal Care,Offline,L,10/7/2013,552513015,11/21/2013,9734,81.73,56.67,795559.82,551625.78,243934.04
170541,Europe,Slovakia,Clothes,Offline,H,7/18/2016,482163178,8/15/2016,1654,109.28,35.84,180749.12,59279.36,121469.76
170625,Europe,Slovakia,Baby Food,Online,H,1/21/2017,877926766,2/5/2017,6895,255.28,159.42,1760155.6,1099200.9,660954.7
170779,Europe,Slovakia,Household,Online,C,4/28/2011,392040097,5/16/2011,2232,668.27,502.54,1491578.64,1121669.28,369909.36
170863,Europe,Slovakia,Meat,Offline,C,11/13/2011,213768041,12/29/2011,7568,421.89,364.69,3192863.52,2759973.92,432889.6
170980,Europe,Slovakia,Fruits,Offline,L,9/17/2013,762564742,10/15/2013,8708,9.33,6.92,81245.64,60259.36,20986.28
171017,Europe,Slovakia,Meat,Online,H,6/5/2010,615521752,7/22/2010,5420,421.89,364.69,2286643.8,1976619.8,310024.0
171046,Europe,Slovakia,Meat,Offline,M,9/19/2015,896022021,10/3/2015,1683,421.89,364.69,710040.87,613773.27,96267.6
171146,Europe,Slovakia,Meat,Online,M,5/1/2016,670680415,5/3/2016,8094,421.89,364.69,3414777.66,2951800.86,462976.8
171237,Europe,Slovakia,Personal Care,Online,C,6/12/2015,941470658,7/22/2015,944,81.73,56.67,77153.12,53496.48,23656.64
171530,Europe,Slovakia,Personal Care,Online,L,10/20/2013,616353023,11/10/2013,1411,81.73,56.67,115321.03,79961.37,35359.66
171767,Europe,Slovakia,Baby Food,Offline,L,3/18/2012,164937245,4/28/2012,7451,255.28,159.42,1902091.28,1187838.42,714252.86
171776,Europe,Slovakia,Household,Online,C,12/4/2015,485446631,1/12/2016,3301,668.27,502.54,2205959.27,1658884.54,547074.73
172080,Europe,Slovakia,Vegetables,Offline,C,5/8/2010,440533149,6/12/2010,2403,154.06,90.93,370206.18,218504.79,151701.39
172481,Europe,Slovakia,Beverages,Online,C,7/15/2014,455090463,7/21/2014,236,47.45,31.79,11198.2,7502.44,3695.76
172606,Europe,Slovakia,Cereal,Offline,M,9/24/2016,586547458,10/1/2016,1282,205.7,117.11,263707.4,150135.02,113572.38
172723,Europe,Slovakia,Office Supplies,Online,C,4/27/2012,819583356,5/13/2012,1783,651.21,524.96,1161107.43,936003.68,225103.75
172817,Europe,Slovakia,Meat,Offline,C,12/1/2014,382724893,12/8/2014,5656,421.89,364.69,2386209.84,2062686.64,323523.2
172864,Europe,Slovakia,Meat,Online,H,6/20/2015,339136207,7/4/2015,6795,421.89,364.69,2866742.55,2478068.55,388674.0
172933,Europe,Slovakia,Cosmetics,Offline,M,7/3/2016,239952409,7/14/2016,6105,437.2,263.33,2669106.0,1607629.65,1061476.35
173088,Europe,Slovakia,Clothes,Online,L,6/3/2014,303636634,7/12/2014,1682,109.28,35.84,183808.96,60282.88,123526.08
173180,Europe,Slovakia,Cereal,Offline,L,7/6/2013,717256438,7/10/2013,974,205.7,117.11,200351.8,114065.14,86286.66
173388,Europe,Slovakia,Fruits,Online,L,8/31/2011,933776366,10/13/2011,4032,9.33,6.92,37618.56,27901.44,9717.12
173532,Europe,Slovakia,Baby Food,Offline,L,7/20/2014,221264922,7/28/2014,6062,255.28,159.42,1547507.36,966404.04,581103.32
173787,Europe,Slovakia,Clothes,Online,L,3/7/2011,751924741,3/13/2011,95,109.28,35.84,10381.6,3404.8,6976.8
173902,Europe,Slovakia,Personal Care,Online,H,4/29/2012,954266726,6/14/2012,7585,81.73,56.67,619922.05,429841.95,190080.1
174124,Europe,Slovakia,Cosmetics,Online,L,7/25/2012,429160583,8/1/2012,7008,437.2,263.33,3063897.6,1845416.64,1218480.96
174143,Europe,Slovakia,Office Supplies,Offline,M,12/11/2015,342617070,12/21/2015,6860,651.21,524.96,4467300.6,3601225.6,866075.0
174183,Europe,Slovakia,Clothes,Offline,H,1/1/2013,915681111,2/14/2013,9244,109.28,35.84,1010184.32,331304.96,678879.36
174443,Europe,Slovakia,Personal Care,Offline,L,11/12/2015,298690640,12/11/2015,8053,81.73,56.67,658171.69,456363.51,201808.18
174710,Europe,Slovakia,Household,Offline,L,5/3/2011,158214557,5/23/2011,8058,668.27,502.54,5384919.66,4049467.32,1335452.34
174873,Europe,Slovakia,Beverages,Online,L,8/4/2016,815369927,8/18/2016,4936,47.45,31.79,234213.2,156915.44,77297.76
175080,Europe,Slovakia,Beverages,Offline,H,12/28/2012,690001761,2/11/2013,5709,47.45,31.79,270892.05,181489.11,89402.94
175220,Europe,Slovakia,Cereal,Online,C,8/6/2016,950053298,9/19/2016,738,205.7,117.11,151806.6,86427.18,65379.42
175314,Europe,Slovakia,Cosmetics,Offline,H,12/8/2015,295308482,12/9/2015,7197,437.2,263.33,3146528.4,1895186.01,1251342.39
175415,Europe,Slovakia,Personal Care,Online,C,2/8/2010,830955922,3/24/2010,7178,81.73,56.67,586657.94,406777.26,179880.68
175509,Europe,Slovakia,Clothes,Online,L,5/30/2016,758294236,7/13/2016,4970,109.28,35.84,543121.6,178124.8,364996.8
175590,Europe,Slovakia,Beverages,Online,M,1/9/2016,870726001,1/13/2016,6028,47.45,31.79,286028.6,191630.12,94398.48
176017,Europe,Slovakia,Household,Offline,C,9/11/2016,479020059,10/1/2016,1535,668.27,502.54,1025794.45,771398.9,254395.55
176214,Europe,Slovakia,Clothes,Online,M,7/19/2016,704221332,8/17/2016,3596,109.28,35.84,392970.88,128880.64,264090.24
176852,Europe,Slovakia,Snacks,Offline,H,9/20/2015,349142348,11/6/2015,7834,152.58,97.44,1195311.72,763344.96,431966.76
176853,Europe,Slovakia,Baby Food,Offline,L,7/16/2015,423128831,7/23/2015,2079,255.28,159.42,530727.12,331434.18,199292.94
176857,Europe,Slovakia,Personal Care,Online,C,2/25/2016,832041680,3/31/2016,8478,81.73,56.67,692906.94,480448.26,212458.68
177755,Europe,Slovakia,Cereal,Online,H,6/23/2015,739565122,6/28/2015,2609,205.7,117.11,536671.3,305539.99,231131.31
177872,Europe,Slovakia,Office Supplies,Offline,C,6/26/2017,722950446,7/12/2017,5957,651.21,524.96,3879257.97,3127186.72,752071.25
177886,Europe,Slovakia,Meat,Offline,C,7/20/2012,178803622,8/31/2012,820,421.89,364.69,345949.8,299045.8,46904.0
178062,Europe,Slovakia,Beverages,Online,L,3/2/2015,983298099,3/20/2015,8613,47.45,31.79,408686.85,273807.27,134879.58
178140,Europe,Slovakia,Clothes,Online,M,6/30/2016,652148711,8/18/2016,4151,109.28,35.84,453621.28,148771.84,304849.44
178246,Europe,Slovakia,Cosmetics,Offline,H,8/24/2013,353750598,9/11/2013,1518,437.2,263.33,663669.6,399734.94,263934.66
178320,Europe,Slovakia,Snacks,Offline,C,5/25/2015,651951301,6/8/2015,5733,152.58,97.44,874741.14,558623.52,316117.62
178445,Europe,Slovakia,Household,Offline,M,8/26/2015,618270051,10/1/2015,8702,668.27,502.54,5815285.54,4373103.08,1442182.46
179168,Europe,Slovakia,Office Supplies,Online,C,10/11/2015,579585731,10/27/2015,1152,651.21,524.96,750193.92,604753.92,145440.0
179255,Europe,Slovakia,Fruits,Offline,C,9/19/2014,424791371,9/24/2014,4061,9.33,6.92,37889.13,28102.12,9787.01
179391,Europe,Slovakia,Personal Care,Offline,M,10/1/2010,225338017,10/8/2010,1382,81.73,56.67,112950.86,78317.94,34632.92
179692,Europe,Slovakia,Cereal,Online,M,10/11/2010,701374328,11/2/2010,1104,205.7,117.11,227092.8,129289.44,97803.36
180243,Europe,Slovakia,Vegetables,Online,L,5/11/2013,323591840,5/31/2013,6871,154.06,90.93,1058546.26,624780.03,433766.23
180447,Europe,Slovakia,Clothes,Offline,L,10/4/2014,667002141,10/26/2014,9611,109.28,35.84,1050290.08,344458.24,705831.84
180520,Europe,Slovakia,Cosmetics,Offline,M,7/1/2015,949855887,7/10/2015,2320,437.2,263.33,1014304.0,610925.6,403378.4
180705,Europe,Slovakia,Household,Online,L,6/19/2012,812819039,6/29/2012,71,668.27,502.54,47447.17,35680.34,11766.83
181021,Europe,Slovakia,Fruits,Online,L,10/3/2016,709463441,11/12/2016,4853,9.33,6.92,45278.49,33582.76,11695.73
181403,Europe,Slovakia,Household,Offline,H,10/7/2015,551286923,10/7/2015,6906,668.27,502.54,4615072.62,3470541.24,1144531.38
181581,Europe,Slovakia,Meat,Offline,L,5/23/2016,944811189,6/25/2016,9481,421.89,364.69,3999939.09,3457625.89,542313.2
181870,Europe,Slovakia,Vegetables,Online,M,3/3/2015,349043643,4/1/2015,8625,154.06,90.93,1328767.5,784271.25,544496.25
182610,Europe,Slovakia,Vegetables,Online,H,4/28/2015,345900523,5/19/2015,8506,154.06,90.93,1310434.36,773450.58,536983.78
182767,Europe,Slovakia,Meat,Online,M,5/25/2014,268095433,6/21/2014,4251,421.89,364.69,1793454.39,1550297.19,243157.2
183062,Europe,Slovakia,Meat,Online,M,10/28/2016,352960956,11/26/2016,7845,421.89,364.69,3309727.05,2860993.05,448734.0
183095,Europe,Slovakia,Snacks,Offline,H,10/3/2011,918626821,10/20/2011,945,152.58,97.44,144188.1,92080.8,52107.3
183126,Europe,Slovakia,Snacks,Online,H,11/22/2010,809140765,12/22/2010,1588,152.58,97.44,242297.04,154734.72,87562.32
183181,Europe,Slovakia,Cereal,Online,L,11/20/2014,497255647,12/11/2014,7851,205.7,117.11,1614950.7,919430.61,695520.09
183484,Europe,Slovakia,Office Supplies,Offline,M,7/21/2014,487010467,8/9/2014,6074,651.21,524.96,3955449.54,3188607.04,766842.5
183613,Europe,Slovakia,Household,Offline,H,11/2/2014,338798463,11/29/2014,6849,668.27,502.54,4576981.23,3441896.46,1135084.77
183751,Europe,Slovakia,Personal Care,Online,H,11/2/2015,678966939,11/6/2015,260,81.73,56.67,21249.8,14734.2,6515.6
183785,Europe,Slovakia,Personal Care,Offline,H,1/17/2012,642973840,2/28/2012,9102,81.73,56.67,743906.46,515810.34,228096.12
184231,Europe,Slovakia,Household,Offline,H,9/6/2011,965696370,9/11/2011,9871,668.27,502.54,6596493.17,4960572.34,1635920.83
185093,Europe,Slovakia,Meat,Offline,C,3/23/2013,227592790,4/2/2013,8619,421.89,364.69,3636269.91,3143263.11,493006.8
185104,Europe,Slovakia,Fruits,Offline,H,6/5/2016,790214240,6/12/2016,809,9.33,6.92,7547.97,5598.28,1949.69
185426,Europe,Slovakia,Meat,Offline,L,4/4/2013,969374644,5/10/2013,8354,421.89,364.69,3524469.06,3046620.26,477848.8
185432,Europe,Slovakia,Meat,Online,H,9/3/2010,862974631,9/28/2010,2225,421.89,364.69,938705.25,811435.25,127270.0
185487,Europe,Slovakia,Personal Care,Offline,M,10/5/2012,977661168,11/12/2012,520,81.73,56.67,42499.6,29468.4,13031.2
186099,Europe,Slovakia,Fruits,Online,H,6/18/2012,459698712,7/16/2012,3919,9.33,6.92,36564.27,27119.48,9444.79
186124,Europe,Slovakia,Personal Care,Offline,L,10/9/2010,435628783,10/20/2010,1092,81.73,56.67,89249.16,61883.64,27365.52
186552,Europe,Slovakia,Meat,Online,L,6/3/2015,731179893,7/10/2015,1233,421.89,364.69,520190.37,449662.77,70527.6
186838,Europe,Slovakia,Snacks,Offline,L,8/14/2014,436319720,9/16/2014,5556,152.58,97.44,847734.48,541376.64,306357.84
186898,Europe,Slovakia,Vegetables,Online,M,6/20/2011,341588389,6/21/2011,2450,154.06,90.93,377447.0,222778.5,154668.5
186935,Europe,Slovakia,Meat,Online,H,5/13/2016,512462270,6/10/2016,7829,421.89,364.69,3302976.81,2855158.01,447818.8
187321,Europe,Slovakia,Vegetables,Online,C,5/29/2015,239754998,6/24/2015,7687,154.06,90.93,1184259.22,698978.91,485280.31
187341,Europe,Slovakia,Meat,Online,M,2/14/2017,739861238,2/21/2017,236,421.89,364.69,99566.04,86066.84,13499.2
187522,Europe,Slovakia,Fruits,Online,M,3/13/2010,815806376,4/1/2010,4091,9.33,6.92,38169.03,28309.72,9859.31
188190,Europe,Slovakia,Snacks,Offline,M,10/15/2014,421409213,11/11/2014,3206,152.58,97.44,489171.48,312392.64,176778.84
188218,Europe,Slovakia,Household,Online,H,7/3/2015,228226649,8/22/2015,6192,668.27,502.54,4137927.84,3111727.68,1026200.16
188633,Europe,Slovakia,Snacks,Offline,H,3/15/2014,401157891,4/28/2014,389,152.58,97.44,59353.62,37904.16,21449.46
188668,Europe,Slovakia,Vegetables,Offline,L,2/12/2010,859254729,2/21/2010,1424,154.06,90.93,219381.44,129484.32,89897.12
189176,Europe,Slovakia,Household,Offline,H,3/18/2017,458966147,4/8/2017,7137,668.27,502.54,4769442.99,3586627.98,1182815.01
189574,Europe,Slovakia,Baby Food,Offline,L,8/4/2012,421014392,8/12/2012,6369,255.28,159.42,1625878.32,1015345.98,610532.34
189711,Europe,Slovakia,Fruits,Online,C,8/23/2013,944317662,10/9/2013,3436,9.33,6.92,32057.88,23777.12,8280.76
189965,Europe,Slovakia,Personal Care,Offline,C,2/11/2017,208370149,3/18/2017,212,81.73,56.67,17326.76,12014.04,5312.72
190025,Europe,Slovakia,Personal Care,Offline,M,10/24/2012,129733788,11/10/2012,9966,81.73,56.67,814521.18,564773.22,249747.96
190031,Europe,Slovakia,Baby Food,Online,M,6/20/2012,265939366,8/1/2012,6223,255.28,159.42,1588607.44,992070.66,596536.78
190451,Europe,Slovakia,Household,Online,C,4/1/2010,911566388,4/9/2010,1606,668.27,502.54,1073241.62,807079.24,266162.38
190794,Europe,Slovakia,Cereal,Online,H,12/25/2010,750303828,2/7/2011,431,205.7,117.11,88656.7,50474.41,38182.29
191304,Europe,Slovakia,Cereal,Online,M,6/24/2014,708829581,6/24/2014,7280,205.7,117.11,1497496.0,852560.8,644935.2
191652,Europe,Slovakia,Vegetables,Offline,C,3/26/2016,285401046,5/2/2016,5367,154.06,90.93,826840.02,488021.31,338818.71
191724,Europe,Slovakia,Household,Online,M,5/22/2015,295209777,6/25/2015,7988,668.27,502.54,5338140.76,4014289.52,1323851.24
191733,Europe,Slovakia,Office Supplies,Online,M,1/9/2010,433909165,2/9/2010,2219,651.21,524.96,1445034.99,1164886.24,280148.75
191781,Europe,Slovakia,Beverages,Online,L,2/9/2010,284076249,3/7/2010,3330,47.45,31.79,158008.5,105860.7,52147.8
191944,Europe,Slovakia,Meat,Online,L,2/10/2016,633518302,3/9/2016,999,421.89,364.69,421468.11,364325.31,57142.8
192222,Europe,Slovakia,Meat,Offline,L,5/7/2014,438080966,6/24/2014,6748,421.89,364.69,2846913.72,2460928.12,385985.6
192231,Europe,Slovakia,Household,Online,C,12/8/2014,283582723,1/17/2015,7284,668.27,502.54,4867678.68,3660501.36,1207177.32
192373,Europe,Slovakia,Snacks,Offline,M,11/7/2012,831449449,12/8/2012,3223,152.58,97.44,491765.34,314049.12,177716.22
192457,Europe,Slovakia,Household,Online,C,4/5/2017,288980615,5/25/2017,4641,668.27,502.54,3101441.07,2332288.14,769152.93
192467,Europe,Slovakia,Baby Food,Online,H,4/26/2012,553837811,5/1/2012,1771,255.28,159.42,452100.88,282332.82,169768.06
192483,Europe,Slovakia,Vegetables,Online,C,5/16/2015,175914990,7/5/2015,6010,154.06,90.93,925900.6,546489.3,379411.3
192749,Europe,Slovakia,Baby Food,Offline,L,9/29/2010,946967256,10/16/2010,7509,255.28,159.42,1916897.52,1197084.78,719812.74
192757,Europe,Slovakia,Beverages,Online,C,7/10/2011,349973618,7/30/2011,3826,47.45,31.79,181543.7,121628.54,59915.16
192847,Europe,Slovakia,Cereal,Online,H,8/1/2015,843710362,8/15/2015,1500,205.7,117.11,308550.0,175665.0,132885.0
193080,Europe,Slovakia,Personal Care,Offline,C,9/9/2014,936129844,9/20/2014,478,81.73,56.67,39066.94,27088.26,11978.68
193104,Europe,Slovakia,Fruits,Online,C,2/8/2015,840229499,2/27/2015,1435,9.33,6.92,13388.55,9930.2,3458.35
193200,Europe,Slovakia,Clothes,Offline,C,3/6/2013,838073432,4/9/2013,3407,109.28,35.84,372316.96,122106.88,250210.08
193264,Europe,Slovakia,Cereal,Offline,C,3/23/2011,775698554,4/13/2011,5295,205.7,117.11,1089181.5,620097.45,469084.05
193397,Europe,Slovakia,Vegetables,Offline,C,5/8/2014,747513902,5/28/2014,4830,154.06,90.93,744109.8,439191.9,304917.9
193402,Europe,Slovakia,Personal Care,Online,M,6/10/2017,127619349,6/27/2017,4256,81.73,56.67,347842.88,241187.52,106655.36
194027,Europe,Slovakia,Clothes,Offline,L,4/1/2015,349282681,5/21/2015,9362,109.28,35.84,1023079.36,335534.08,687545.28
194154,Europe,Slovakia,Cereal,Offline,C,9/5/2010,141345393,9/20/2010,6098,205.7,117.11,1254358.6,714136.78,540221.82
194481,Europe,Slovakia,Office Supplies,Offline,L,3/24/2015,623174417,4/2/2015,13,651.21,524.96,8465.73,6824.48,1641.25
194599,Europe,Slovakia,Office Supplies,Offline,L,12/19/2011,245927083,1/17/2012,4144,651.21,524.96,2698614.24,2175434.24,523180.0
194740,Europe,Slovakia,Beverages,Online,H,9/26/2016,590168654,10/1/2016,2875,47.45,31.79,136418.75,91396.25,45022.5
195149,Europe,Slovakia,Office Supplies,Offline,C,4/12/2013,367040193,4/22/2013,4204,651.21,524.96,2737686.84,2206931.84,530755.0
195224,Europe,Slovakia,Cosmetics,Offline,C,5/12/2013,720399558,5/24/2013,1093,437.2,263.33,477859.6,287819.69,190039.91
195585,Europe,Slovakia,Cereal,Offline,M,7/19/2010,442154061,9/5/2010,2067,205.7,117.11,425181.9,242066.37,183115.53
195629,Europe,Slovakia,Meat,Online,C,11/24/2014,394492280,11/28/2014,7887,421.89,364.69,3327446.43,2876310.03,451136.4
195663,Europe,Slovakia,Fruits,Offline,C,2/14/2011,521481359,3/23/2011,6777,9.33,6.92,63229.41,46896.84,16332.57
196387,Europe,Slovakia,Vegetables,Online,C,4/1/2012,866652905,4/5/2012,709,154.06,90.93,109228.54,64469.37,44759.17
196424,Europe,Slovakia,Personal Care,Online,H,5/19/2012,106339347,6/13/2012,7031,81.73,56.67,574643.63,398446.77,176196.86
196573,Europe,Slovakia,Snacks,Online,M,10/21/2010,102661073,12/6/2010,8548,152.58,97.44,1304253.84,832917.12,471336.72
196776,Europe,Slovakia,Meat,Offline,C,8/13/2014,983199393,8/13/2014,9404,421.89,364.69,3967453.56,3429544.76,537908.8
196866,Europe,Slovakia,Office Supplies,Online,H,7/29/2012,698527324,8/14/2012,8613,651.21,524.96,5608871.73,4521480.48,1087391.25
196907,Europe,Slovakia,Fruits,Offline,C,6/4/2015,315362393,6/4/2015,1595,9.33,6.92,14881.35,11037.4,3843.95
197064,Europe,Slovakia,Baby Food,Offline,H,1/5/2014,931028068,1/8/2014,750,255.28,159.42,191460.0,119565.0,71895.0
197736,Europe,Slovakia,Personal Care,Offline,L,4/11/2013,870232474,4/28/2013,9982,81.73,56.67,815828.86,565679.94,250148.92
197959,Europe,Slovakia,Beverages,Online,L,2/27/2013,453033101,4/7/2013,1417,47.45,31.79,67236.65,45046.43,22190.22
198106,Europe,Slovakia,Snacks,Offline,H,11/11/2016,769921290,12/19/2016,5674,152.58,97.44,865738.92,552874.56,312864.36
198318,Europe,Slovakia,Clothes,Online,H,10/22/2016,805223453,11/20/2016,2368,109.28,35.84,258775.04,84869.12,173905.92
198417,Europe,Slovakia,Baby Food,Offline,M,1/6/2014,253086221,1/10/2014,2692,255.28,159.42,687213.76,429158.64,258055.12
198479,Europe,Slovakia,Vegetables,Offline,M,3/27/2014,199252355,4/5/2014,2054,154.06,90.93,316439.24,186770.22,129669.02
198594,Europe,Slovakia,Household,Online,L,5/6/2017,995460307,6/9/2017,7681,668.27,502.54,5132981.87,3860009.74,1272972.13
198833,Europe,Slovakia,Clothes,Offline,L,10/17/2015,983635842,10/22/2015,8559,109.28,35.84,935327.52,306754.56,628572.96
199021,Europe,Slovakia,Household,Offline,H,3/23/2012,700049531,4/3/2012,9068,668.27,502.54,6059872.36,4557032.72,1502839.64
199851,Europe,Slovakia,Baby Food,Offline,H,8/24/2010,386938321,9/3/2010,2503,255.28,159.42,638965.84,399028.26,239937.58
200047,Europe,Slovakia,Beverages,Offline,L,8/19/2013,147081029,8/31/2013,3400,47.45,31.79,161330.0,108086.0,53244.0
200101,Europe,Slovakia,Fruits,Offline,H,10/19/2016,317419755,11/5/2016,414,9.33,6.92,3862.62,2864.88,997.74
200538,Europe,Slovakia,Meat,Online,L,2/22/2017,950152003,3/5/2017,9947,421.89,364.69,4196539.83,3627571.43,568968.4
200614,Europe,Slovakia,Beverages,Online,L,5/7/2017,820710742,6/19/2017,5401,47.45,31.79,256277.45,171697.79,84579.66
200948,Europe,Slovakia,Snacks,Online,C,8/14/2013,380906569,8/24/2013,7573,152.58,97.44,1155488.34,737913.12,417575.22
201018,Europe,Slovakia,Cereal,Online,H,2/3/2012,207242763,2/12/2012,6594,205.7,117.11,1356385.8,772223.34,584162.46
